time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526083666606,2018-05-12T00:07:46.605999Z,1023.5858537514085,-68,380,948,2947,32.5,1023.6,23.63,C2:9A:9F:E5:58:27
1526083672216,2018-05-12T00:07:52.216000Z,1020.6429346250333,-68,372,948,2941,32.5,1023.66,23.65,C2:9A:9F:E5:58:27
1526083677216,2018-05-12T00:07:57.216000Z,1014.6920715172657,-68,376,940,2947,32.5,1023.69,23.64,C2:9A:9F:E5:58:27
1526083682746,2018-05-12T00:08:02.746000Z,1027.8521294427521,-76,380,952,2935,32.5,1023.67,23.64,C2:9A:9F:E5:58:27
1526083688196,2018-05-12T00:08:08.196000Z,1023.5858537514085,-68,380,948,2953,32.5,1023.66,23.64,C2:9A:9F:E5:58:27
1526083693356,2018-05-12T00:08:13.355999Z,1020.1568506852267,-72,380,944,2953,32.5,1023.64,23.64,C2:9A:9F:E5:58:27
1526083698886,2018-05-12T00:08:18.885999Z,1021.1209526789664,-64,384,944,2929,32.5,1023.63,23.64,C2:9A:9F:E5:58:27
1526083704226,2018-05-12T00:08:24.226000Z,1030.7434210316358,-64,380,956,2935,32.5,1023.67,23.63,C2:9A:9F:E5:58:27
1526083709996,2018-05-12T00:08:29.996000Z,1027.8209960883266,-64,372,956,2941,33,1023.65,23.63,C2:9A:9F:E5:58:27
1526083715236,2018-05-12T00:08:35.236000Z,1030.7434210316358,-64,380,956,2959,32.5,1023.68,23.63,C2:9A:9F:E5:58:27
1526083721086,2018-05-12T00:08:41.085999Z,1020.1411667019423,-60,372,948,2935,32.5,1023.73,23.63,C2:9A:9F:E5:58:27
1526083726232,2018-05-12T00:08:46.232000Z,1013.4929698818833,-72,372,940,2935,32.5,1023.66,23.62,C2:9A:9F:E5:58:27
1526083731716,2018-05-12T00:08:51.716000Z,1021.3794593587635,-68,384,944,2953,32.5,1023.69,23.64,C2:9A:9F:E5:58:27
1526083737216,2018-05-12T00:08:57.216000Z,1022.1076264268846,-68,376,948,2935,32.5,1023.72,23.63,C2:9A:9F:E5:58:27
1526083742296,2018-05-12T00:09:02.296000Z,1018.3987431256973,-68,376,944,2953,32.5,1023.63,23.64,C2:9A:9F:E5:58:27
1526083747376,2018-05-12T00:09:07.375999Z,1025.561309722632,-64,376,952,2935,32.5,1023.66,23.64,C2:9A:9F:E5:58:27
1526083752892,2018-05-12T00:09:12.891999Z,1020.1568506852267,-72,380,944,2953,32.5,1023.63,23.64,C2:9A:9F:E5:58:27
1526083758196,2018-05-12T00:09:18.196000Z,1023.3279044372825,-64,380,948,2935,32.5,1023.65,23.62,C2:9A:9F:E5:58:27
1526083763526,2018-05-12T00:09:23.526000Z,1016.9287093990414,-68,372,944,2929,32.5,1023.63,23.62,C2:9A:9F:E5:58:27
1526083769096,2018-05-12T00:09:29.095999Z,1016.9287093990414,-68,372,944,2953,32.5,1023.64,23.63,C2:9A:9F:E5:58:27
1526083774216,2018-05-12T00:09:34.216000Z,1014.187359416395,-60,376,940,2941,32.5,1023.69,23.62,C2:9A:9F:E5:58:27
1526083780196,2018-05-12T00:09:40.196000Z,1022.1076264268846,-68,376,948,2935,32.5,1023.7,23.63,C2:9A:9F:E5:58:27
1526083785216,2018-05-12T00:09:45.216000Z,1020.9172346473538,-72,372,948,2953,32.5,1023.64,23.63,C2:9A:9F:E5:58:27
1526083790796,2018-05-12T00:09:50.796000Z,1025.818697431471,-68,376,952,2941,32.5,1023.72,23.62,C2:9A:9F:E5:58:27
1526083796206,2018-05-12T00:09:56.206000Z,1021.8493039582696,-64,376,948,2935,32.5,1023.7,23.63,C2:9A:9F:E5:58:27
